,Category,Cards,Offer1,Offer2,Offer3,Offer4,Offer5,Offer6
0,millennia-cards,Millennia Debit Card,Get up to ₹4800 CashBack every year,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and Wallet reloads,,
1,millennia-cards,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato",1% cashback on all other spends (except Fuel) including EMI & Wallet transactions,"₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",8 Complimentary Domestic Airport Lounge access annually,,
2,millennia-cards,Millennia Credit Card,"5% CashBack on Amazon, Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,8 Complimentary Domestic Airport Lounge access annually,,
3,millennia-cards,Easy EMI Card,"Automatic conversion on spends of ₹10,000 and above to EMI of 9 months","5% CashBack on Amazon & Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,,
4,millennia-cards,Millennia Prepaid Card,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,"Get up to Rs. 5,000 CashBack every year",,
5,credit-cards,INFINIA Metal Edition,Complimentary Club Marriott membership for first year,Complimentary nights & weekend buffet at participating ITC hotels,Unlimited Complimentary golf games at leading courses across India and select courses across the world,5 Reward Points for every ₹ 150 spent,Global Personal Concierge -24 X 7,
6,credit-cards,Diners Club Black Credit Card,"Complimentary Annual memberships of Club Marriott, Forbes, Amazon Prime, Zomato Pro, MMT BLACK and Times Prime","Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 80,000 every month",5 Reward Points for every Rs 150 spent,10X Reward Points on partner brands,Complimentary Golf games across the finest courses in the world,Unlimited Complimentary Airport Lounge Access
7,credit-cards,Paytm HDFC Bank Credit Card,Upto 3% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,Earn upto Rs. 1200 Cashback annually,Upto 50 days of credit free period,,
8,credit-cards,Paytm HDFC Bank Select Credit Card,Upto 5% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,8 Complimentary Airport Lounge Access,Gift Vouchers worth Rs.500 every Calendar Quarter,,
9,credit-cards,Paytm HDFC Bank Mobile Credit Card,Upto 2% Unlimited Cashback everytime,Upgrade to Paytm HDFC Bank Credit Card in 3 months,Customize your card the way you like,Instant issuance/ virtual credit card,,
10,credit-cards,Regalia Credit Card,Complimentary Dineout Passport Membership*,Complimentary lounge access at over 1000 airports,4 Reward Points for every ₹ 150 spent,"Earn Bonus 15,000 Reward Points on spends of ₹ 8 lakhs in a year",,
11,credit-cards,Diners Club Privilege Credit Card,"Complimentary Annual memberships of Amazon Prime, Zomato Pro, MMT BLACK, BB Star and Times Prime","Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 40,000 every month",4 Reward Points for every Rs 150 spent,10X Reward Points on partner brands,Complimentary Golf games across the finest courses in the world,12 complimentary Airport Lounge Access worldwide
12,credit-cards,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato",1% cashback on all other spends (except Fuel) including EMI & Wallet transactions,"₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",8 Complimentary Domestic Airport Lounge access annually,,
13,credit-cards,Millennia Credit Card,"5% CashBack on Amazon, Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,8 Complimentary Domestic Airport Lounge access annually,,
14,credit-cards,MoneyBack+ Credit Card,"10X CashPoints on Amazon, BigBasket, Flipkart, Reliance Smart SuperStore & Swiggy",5X CashPoints on EMI spends at merchant locations,"2 CashPoints on all other spends ( Excluding fuel, Wallets loads )",Gift vouchers worth upto ₹2000 annually,,
15,credit-cards,Freedom Credit Card,"Earn 10X CashPoints on your favourite merchants ( Big Basket, BookMyshow, OYO, Swiggy & Uber )",Earn 5X CashPoints on EMI spends at merchant locations,"Earn 1 CashPoint per every Rs.150  on other spends ( Excluding fuel, Wallets loads )",Interest Rate of just 0.99% for first 90 days on retail/non-EMI spends,,
16,credit-cards,MoneyBack Credit Card,Earn 2 Reward Points for every Rs 150 spent,Earn 4 Reward Points for every Rs 150 spent online,Earn up to Rs. 2000 worth of gift vouchers every year,,,
17,credit-cards,Regalia First Credit Card,Exclusive dining privileges with up to 15% discount at partner restaurants,4 Reward Points for every ₹ 150 spent,Complimentary Priority Pass Membership for free access to over 1000 lounges globally,,,
18,credit-cards,Diners ClubMiles Credit Card,Get up to 6 complimentary access to 1000+ lounges worldwide annually,Redeem Reward Points for bookings across 150+ airlines and a wide range of hotels,Get air accident cover of ₹1 crore,,,
19,credit-cards,Freedom Credit Card,Earn 1 Reward Point on every ₹150 spent,"Enjoy ₹1000 Gift Voucher on annual spends of ₹90,000 and above",Get add-on Credit Card for free with your existing Freedom Credit Card,,,
20,credit-cards,Platinum Times Card,25% off on Movies on BookMyShow,Up to 20% off on dining,3 Reward Points for every ₹ 150 spent,10 Reward Points for ₹ 150 spent on weekday dining,Offers every single day on Times Card WebApp (Live GPS location based offers),
21,credit-cards,Titanium Times Card,25% off on Movies on BookMyShow,Up to 15% off on dining,2 Reward Points for every ₹ 150 spent,5 Reward Points for ₹ 150 spent on weekday dining,Offers every single day on Times Card WebApp (Live GPS location based offers),
22,credit-cards,6E Rewards - IndiGo HDFC Bank Credit Card,2.5% 6E Rewards on IndiGo,"2% 6E Rewards on Grocery, Dining & Entertainment",1% 6E Rewards on all other spends*,Up to 10% 6E Rewards on IndiGo featured partners,Discounted Convenience Fee on IndiGo tickets-Rs.150 per pax (current – Rs.300),
23,credit-cards,6E Rewards XL- IndiGo HDFC Bank Credit Card,5% 6E Rewards on IndiGo,"3% 6E Rewards on Grocery, Dining & Entertainment",2% 6E Rewards on all other spends*,Up to 15% 6E Rewards on IndiGo featured partners,Discounted Convenience Fee on IndiGo tickets-Rs.150 per pax (current – Rs.300),
24,credit-cards,InterMiles HDFC Bank Diners Club Credit card,"Welcome benefit of up to 25,000 InterMiles and earn 8 InterMiles per every Rs.150 spent",InterMiles Gold tier Membership for first year,2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Rs 5000 Worth Flight & Hotel discount vouchers*,,
25,credit-cards,InterMiles HDFC Bank Signature Credit card,"Welcome benefit of up to 8,000 InterMiles and earn 6 InterMiles per every Rs.150 spent",InterMiles Silver tier Membership for first year,2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Complimentary Domestic  & International Lounge Access*,,
26,credit-cards,InterMiles HDFC Bank Platinum Credit card,"Welcome benefit of up to 3,000 InterMiles and earn 4 InterMiles per every Rs.150 spent",2X InterMiles for flights booked on www.intermiles.com & Hotel booked via Interbook.intermiles.com,Rs. 1500 Worth flight & hotel discount vouchers*,8 Complimentary Domestic Lounge Access*,,
27,credit-cards,IndianOil HDFC Bank Credit Card,Earn up to 50 Liters of Free fuel annually,"Earn 5% of your spends as Fuel Points at IndianOil outlets, Groceries and Bill Payments.",Earn 1 Fuel Point for every Rs. 150 spent on all other purchases,Enjoy 1% Fuel Surcharge waiver,,
28,credit-cards,Easy EMI Card,"Automatic conversion on spends of ₹10,000 and above to EMI of 9 months","5% CashBack on Amazon & Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,,
29,credit-cards,Paytm HDFC Bank Business Credit Card,Upto 3% Unlimited Cashback everytime,Cash Advance Fee Reversal of Rs.500,Paytm First Membership - Upto 75k worth benefits,Upto 50 days of credit free period,,
30,credit-cards,Paytm HDFC Bank SELECT Business Credit Card,Upto 5% Unlimited Cashback everytime,12 Complimentary Airport Lounge Access,Paytm First Membership - Upto 75k worth benefits,Personal Accident Death Cover up to Rs.30 Lacs,Upto 50 days of credit free period,
31,credit-cards,Business Regalia,Up to 50 days interest free credit period,4 Reward Points for every Rs.150 spent,Complimentary 6 International + 12 domestic airport lounge visits annually,"5% CashBack on Telecom, Electricity, Government/Tax, Railway, Hotels & Dining and Taxi spends",Travel insurance cover up to Rs. 1 Cr,
32,credit-cards,Business MoneyBack,Up to 50 days interest free credit period,4 Reward Points for every Rs.150 spent on all online purchases,2 Reward Points for every Rs 150 spent on other expenses (Except fuel),1% Fuel surcharge waiver,"5% CashBack on Telecom, Electricity, Government/Tax, Railway, Hotels & Dining and Taxi spends",
33,credit-cards,Best Price Save Max HDFC Bank Credit Card,Up to 50 days interest free credit period,6 Reward Points for every Rs 150 spent on all Best Price purchases,"4 Reward Points for every Rs 150 spent on IRCTC, utility & dining",Free Best Price vouchers,8 Complimentary International lounge visits annually,
34,credit-cards,Best Price Save Smart HDFC Bank Credit Card,Up to 50 days interest free credit period,1% CashBack on all Best Price spends,Free Best Price vouchers,1% Fuel surcharge waiver,,
35,credit-cards,CSC Small Business MoneyBack,Up to 50 days interest free credit period,4 Reward Points for every Rs.150 spent on all online purchases,2 Reward Points for every Rs 150 spent on other expenses (Except fuel),5X Reward Points on fuel spends,"5% CashBack on Telecom, Electricity, Government/Tax, Railway, Hotels & Dining and Taxi spends",
36,credit-cards,All Miles Credit Card,Free access to over 600 exclusive airport lounges,"Three reward points for every Rs. 150 spent, redeem points for air miles",Double reward points for spends on AllMiles website,,,
37,credit-cards,Bharat Credit Card,"5% CashBack on IRCTC bookings, bill payments, and fuel spends","Additional 5% CashBack on EasyEMI, PayZapp and SmartBuy spends",,,,
38,credit-cards,Business Bharat Credit Card,Enjoy 5% CashBack on various products and categories,Enjoy safe and secure transactions with chip-enabled cards,,,,
39,credit-cards,Business Freedom Credit Card,"Enjoy 5% CashBack on movies, dining, super market spends, taxi and bill payment",Get interest-free credit period for 50 days,Enjoy revolving credit at nominal interest rates,,,
40,credit-cards,Business Gold Credit Card,Travel abroad securely with HDFC ERGO travel insurance policy,Get interest-free credit period for 50 days,Enjoy higher security with chip technology Credit Cards,,,
41,credit-cards,Business Platinum Credit Card,Enjoy 1% CashBack on retail and international spends,Get free access to exclusive airport lounges when you travel,Stay protected with zero-liability on your card,,,
42,credit-cards,Business Regalia First Credit Card,Earn 4 Reward Points for every ₹ 150 spent,Get up to 15% discount at 300+ premium restaurants,"5% CashBack on IRCTC, Utility and Tax Payments.",,,
43,credit-cards,Diners Club Premium Credit Card,Upto 6 Complimentary access to 1000+ Lounges Worldwide in a year,Book a concierge for your travel needs. Simply call : 1800 209 4006,Earn 4 Reward Points for every Rs. 150/- retail spends,10X Reward Points on Partner Brands,,
44,credit-cards,Diners Club Rewardz Credit Card,Earn 3 Reward Points for every Rs. 150/- retail spends,10X Reward Points on Partner Brands,Book a concierge for your travel needs. Simply call : 1800 209 4006,,,
45,credit-cards,Doctor's Regalia Credit Card,Complimentary Airport Lounge Access through Priority Pass Membership,Professional Indemnity Insurance Cover of up to ₹ 20 Lakhs,"Earn Bonus 15,000 Reward Points on spends of ₹ 8 lakhs in a year",,,
46,credit-cards,Doctors Superia Credit Card,3 Reward Points for every ₹ 150 spent and 50% more points on dining spends,Reward Points can be exchanged for Miles (at 0.7 Miles for every point),,,,
47,credit-cards,JetPrivilege HDFC Bank Select / Titanium,Earn InterMiles on your purchases and accelerated miles on flights booked on www.intermiles.com,Fuel surcharge of 2.5% plus service tax will be replaced by Convenience fee of 1% (effective 01 Feb’17) plus GST (effective 01 Jul’17).,,,,
48,credit-cards,Platinum Edge Credit Card,Exciting CashBack offers on everyday spends,2 Reward Points for every ₹ 150 spent; 50% more Reward Points at premium restaurants,Redemption of Reward Points as CashBack to pay off Credit Card dues,,,
49,credit-cards,Platinum Plus Credit Card,2 Reward Points for every ₹ 150 spent,"50% more Reward Points for every ₹ 150 spent above ₹ 50,000 per statement cycle",Savings up to ₹ 250 in every billing cycle with a 100% fuel surcharge waiver,,,
50,credit-cards,Solitaire Credit Card,3 Reward Points for every ₹ 150 spent,50% more Reward Points on dining and grocery spends,₹1000 Shoppers Stop voucher on spends above ₹75000 within 6 months,,,
51,credit-cards,Superia Credit Card,"Save more while flying domestic with Air India, etc.",Redeem points for Miles with 20+ international airlines,3 Reward Points on every ₹ 150 spent; 50% more on dining spends,,,
52,credit-cards,Teachers Platinum Credit Card,Special gift of 500 Reward Points on Teacher's Day (5 Sept) every year,Convenient utility bill payment with SmartPay,2 Reward Points for every ₹ 150 spent; 3X Reward Points on weekends,,,
53,credit-cards,Titanium Edge Credit Card,Great cashback offers on everyday spends,2 Reward Points for every ₹ 150 spent; 50% more Reward Points at premium restaurants,Redemption of Reward Points as CashBack to pay off Credit Card dues,,,
54,credit-cards,Visa Signature Credit Card,Free lounge access at over 600+ airports globally with a complimentary Priority Pass membership,2 Reward Points for every ₹ 150 spent,Savings of up to ₹ 250 in every billing cycle with a 100% fuel surcharge waiver,,,
55,credit-cards,World MasterCard Credit Card,Free lounge access at 600+ airports globally with a complimentary Priority Pass membership,2 Reward Points for every ₹ 150 spent,"50% more Reward Points for every ₹ 150 spent above ₹ 75,000 per statement cycle",,,
56,debit-cards,Millennia Debit Card,Get up to ₹4800 CashBack every year,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and Wallet reloads,,
57,debit-cards,MoneyBack Debit Card,Save upto Rs. 5000* a year,"Get 1% CashBack on Fuel, Apparels, Insurance, Education & Grocery",Get a voucher worth Rs. 500/- after your first transaction,,,
58,debit-cards,EasyShop Imperia Platinum Chip Debit Card,Daily limit of ₹ 1 lakh for ATM withdrawals and ₹ 5 lakhs for retail / online shopping,Upto 1% CashBack on retail and online shopping (Max Rs 750/month),Up to ₹ 12 lakhs Personal Accidental Death Cover (rail/ road/ air),,,
59,debit-cards,EasyShop Preferred Platinum Debit Card,Daily limit of ₹ 1 lakh for ATM withdrawals and ₹ 5 lakhs for retail / online shopping,Upto 1% CashBack on retail and online shopping (Max Rs 750/month),Up to ₹ 12 lakhs Personal Accidental Death Cover (rail/ road/ air),,,
60,debit-cards,Easyshop Classic Platinum Debit Card,Daily limit of ₹ 1 lakh for ATM withdrawals and ₹ 5 lakhs for retail / online shopping,Upto 1% CashBack on retail and online shopping (Max Rs 750/month),Up to ₹ 12 lakhs Personal Accidental Death Cover (rail/ road/ air),,,
61,debit-cards,EasyShop Platinum Debit Card,Daily limit of ₹ 1 lakh for ATM withdrawals and ₹ 5 lakhs for retail / online shopping,Upto 1% CashBack on retail and online shopping (Max Rs 750/month),Up to ₹ 10 lakhs Personal Accidental Death Cover (rail/ road/ air),,,
62,debit-cards,Times Points Debit Card,"Minimum 10% discount on online shopping, lifestyle, entertainment, dining and grocery",Welcome bonus of 500 Times Points on first purchase,"Up to ₹ 2 lakhs Insurance Cover for Fire and Burglary, on minimum spends",,,
63,debit-cards,HDFC Bank Rewards Debit Card,Rewards across 5 categories to meet your daily needs,Earn rewards worth up to ₹ 2000 every month,"Up to ₹ 5 lakhs Personal Accident Death Cover (rail, road or air)",,,
64,debit-cards,EasyShop Business Debit Card,Debit Card for Current Account holders to track expenses easily,CashBack points on all online and offline shopping,Complimentary access to Clipper lounges at select airports,,,
65,debit-cards,RuPay Premium Debit Card,20% Instant discount on Swiggy & Amazon Pay on Fridays*,Up to ₹ 2 lakhs Personal Accidental Death / Permanent Disability Cover,,,,
66,debit-cards,EasyShop Rupay NRO Debit Card,20% Instant discount on Swiggy & Amazon Pay on Fridays*,Personal Accidental Death / Permanent Disability Insurance upto Rs. 2 lac,"Rupay NRO Debit Card can be used at ATMs, merchant outlets in India and Indian websites only.",,,
67,debit-cards,InterMiles HDFC Signature Debit Card,Accumulate InterMiles to redeem free flights,Free Personal Accidental Death Insurance Cover of up to Rs. 25 lacs,Card security in case your Debit Card gets misplaced or stolen,,,
68,debit-cards,EasyShop Debit Card,"Daily limit of ₹ 25,000 for ATM withdrawals and ₹ 2.75 lakhs for retail / online shopping",Zero liability on lost card,,,,
69,debit-cards,EasyShop Woman's Advantage Debit Card,1% CashBack (up to ₹ 750 a month) for every ₹ 200 you spend,Locker facility at HDFC Bank branches at 50% off for the first year,"Up to ₹ 5 lakhs Personal Accident Death Cover (rail, road or air)",,,
70,debit-cards,EasyShop Titanium Royale Debit Card,"₹ 1 CashBack (up to ₹ 750 a month) on every ₹ 100 spent on Telecom, utilities","CashBack on every 200 spent on groceries, supermarket, Restaurant, Apparels & Entertainment.",,,,
71,debit-cards,EasyShop Titanium Debit Card,"Daily limit of ₹ 50,000 for ATM withdrawals and ₹ 3.5 lakhs for retail / online shopping",,,,,
72,debit-cards,EasyShop NRO Debit Card,Designed for NRIs to use in India,Fuel savings at select BPCL stations,Zero liability on lost card,,,
73,debit-cards,EasyShop Gold Debit Card,1% CashBack (up to ₹ 750 a month) on offline and online spends,Fuel savings up to ₹ 250 a month at select outlets,Daily limit of ₹ 1 lakh for ATM withdrawals and ₹ 2.75 lakhs for retail / online shopping,,,
74,debit-cards,Jet Privilege HDFC Bank World Debit Card,Accumulate Intermiles to redeem free flights,Free Personal Accidental Death Insurance Cover of up to Rs. 25 lacs,Card security in case your Debit Card gets misplaced or stolen,,,
75,prepaid-cards,Millennia Prepaid Card,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,"Get up to Rs. 5,000 CashBack every year",,
76,prepaid-cards,GiftPlus Card,Giftplus cards offers freedom of choice to the recipient,No usage fee deducted from the amount – entire amount available for use,Accepted at all merchant outlets & can be used for Online Ecom transaction .,,,
77,prepaid-cards,eGiftPlus Card,Card comes with a wider acceptance for online usage at all Visa enabled ecom sites in India.,Convenience of storage since it is available to access any time from beneficiery mail box,Realtime issuance or can be scheduled to issue on future date,,,
78,prepaid-cards,FoodPlus Prepaid Card,"A smart, electronic prepaid card for meal allowances issued by company",Accepted across India at food and beverage outlets & can be used for Ecom transaction ( restricted to Food & beverage),Only one-time distribution of card required,"Personalised card which has NetBanking access, allows to keep track of expenses",,
79,prepaid-cards,MoneyPlus Card,"Hassle-free card to manage reimbursements, incentives, etc.",Accepted at all merchant outlets across India & can be used for Ecom transaction.,Can be used to withdraw cash at any Visa/ Rupay ATM in India,,,
80,prepaid-cards,Apollo Medical Benefit Card,"Discounts on medicines, health check-ups and diagnostic centres","Special offers at Apollo Hospitals, Apollo Pharmacy, Apollo Clinics and Apollo White Dental",Free ambulance and priority desk,,,
81,prepaid-cards,FASTag - Hassle-free Toll Payment,Accepted over 690+ Toll Plazas,"Online payment , transaction alert and 24 X 7 call center",Cashless and Seamless payments at toll plazas,,,
82,prepaid-cards,HDFC Bank DigiThane Card,"Access your funds stored on the card from anywhere, anytime","Accepted at all Visa/MasterCard/Rupay network ATMs, online, and in merchant outlets",It’s also easy to track – using a PIN you can check the card’s balance and transaction history.,,,
83,prepaid-cards,FleetXpress,Easy cash disbursement to drivers online,Spend control with limits and policies,Real-time card spend tracking,,,
84,prepaid-cards,Corporate Expense Management Solution,Real-time tracking of card expenses,Strong Spend Controls with limits and policies,Automated policy violation alerts,Online expense reporting and approvals,Hassle-free reconciliation,
85,prepaid-cards,GPR Card,"Access your funds stored on the card from anywhere, anytime","Accepted at all Visa network ATMs, online, and in merchant outlets",,,,
86,prepaid-cards,Reward Card,Reward & appreciate staff / clients by giving “Reward Card”,To pay commissions or incentives to employees via Reward card,,,,
87,prepaid-cards,MoneyPlus Retail GPR Card,"It is specifically designed for for Individuals, SME & Small corporate companies for paying salaries or wages to their employees and domestic help","It is an alternate to cash payments that provides the convenience, control & safety.","It is a convenient mode of payment to pay salaries, allowances, patty cash and easy to issue and reload the card.",Cash withdrawal at POS in India with maximum withdrawal limit of Rs 5000 per day & Rs. 10000 per month. Per transaction limit is Rs. 2000,,
88,prepaid-cards,MoneyPlus Dependant GPR Card,It is specifically designed for Individual for paying money to their family dependent members (Father/Mother/Son/Daughter/Spouse /Siblings),"It is an alternate to cash payments that provides the convenience, control & safety","It is a convenient mode of payment to pay pocket money, house hold expense to family memebers and also easy to issue and reload the card",Cash withdrawal at POS in India with maximum withdrawal limit of Rs 5000 per day & Rs. 10000 per month. Per transaction limit is Rs. 2000,,
89,prepaid-cards,MoneyPlus Benefit Card,Card comes with a wider acceptance at all Visa / Rupay enabled merchant outlets in India,"Convenience of Phonebanking, Netbanking 24X7 and Free SMS alerts for all transactions","Convenience of a replacement card in case of lost, stolen or damaged card. Beneficiaries are protected with Zero lost card liability post hotlisting the Card",,,
90,prepaid-cards,MoneyPlus Petro Card,Card comes with a wider acceptance at all Visa / Rupay enabled merchant outlets in India which are categories under petro MCC / petrol pumps,"Convenience of Phonebanking, Netbanking 24X7 and Free SMS alerts for all transactions","Convenience of a replacement card in case of lost, stolen or damaged card. Beneficiaries are protected with Zero lost card liability post hotlisting the Card",,,
91,prepaid-cards,MoneyPlus PettyCash Card,Card comes with a wider acceptance at all Visa / Rupay enabled ATM and merchant outlets in India,"Convenience of Phonebanking, Netbanking 24X7 and Free SMS alerts for all transactions","Convenience of a replacement card in case of lost, stolen or damaged card . Beneficiaries are protected with Zero lost card liability post hotlisting the Card",,,
92,forex-cards,MakeMyTrip Hdfc Bank ForexPlus Card,Available in 22 currencies,OLA Cab Voucher upto Rs. 1000,Airport Lounge Access & FREE Insurance Cover,,,
93,forex-cards,Regalia ForexPlus Card,Available in USD Dollars,"Once loaded, be worry-free about Cross Currency Conversion Charges",Waiver on ATM Access Fee or ATM ownership charges linked with All Point Network,,,
94,forex-cards,Multicurrency Platinum ForexPlus Chip Card,"Available in 22 currencies, including the popular USD, Euro and GBP","Once loaded, no worries about forex fluctuations in these currencies",Create different currency wallets and transfer balance using NetBanking,,,
95,forex-cards,ISIC Student ForexPlus Card,Accepted as student identity card worldwide,"Available in the three popular global currencies - USD, Euro and GBP",ATM withdrawal available in local currency,,,
96,forex-cards,Hajj Umrah Card,Specially created for the convenience of pilgrims,"Once loaded, no worries about fluctuations in Saudi Riyal and Indian Rupee",ATM withdrawal in local currency available during trave,,,
97,commercial-credit-cards,Corporate Platinum Credit Card,Save up to ₹ 500 in every billing cycle with 1% fuel surcharge waiver,Accident Insurance cover of ₹ 1 Crore for Air Travel and ₹ 3 lakhs for Road and Rail Travel,Get 8 complimentary domestic lounge access per Calendar year at various airports in India,,,
98,commercial-credit-cards,Corporate Premium Credit Card,Free access to 1200+ airport lounges across the world with a complimentary Priority Pass membership,Earn 5 Reward Points for every ₹ 150 spent,Save up to ₹ 1000 in every billing cycle with 1% fuel surcharge waiver,24x7 online MIS availability,Helps integrate with existing accounting systems,
99,commercial-credit-cards,HDFC Bank & SAP Concur Solutions Black Corporate Credit Card,Earn 5 Reward Points for every Rs. 150 spent on your card,Complimentary  15 domestic & 15 International airport lounge visits anually via LoungeKey program,Complimentary Wi-fi access on ground and in air with Boingo Wifi at over 1 million hotspots in 100 countries,,,
100,commercial-credit-cards,HDFC Bank & SAP Concur Solutions Prime Corporate Credit Card,Earn 3 Reward Points for every Rs. 150 spent on your card.,Complimentary 12 domestic airport lounge visits annually,Complimentary Wi-fi access on ground and in air with Boingo Wifi at over 1 million hotspots in 100 countries,,,
101,commercial-credit-cards,Business Corporate Regalia Credit Card,6 free lounge access at 1200+ airport lounges globally with a complimentary Priority Pass membership,Lowest foreign currency mark-up fee of 2% on international transactions,Get air accident insurance cover worth up to ₹ 1 crore,,,
102,commercial-credit-cards,Business Corporate MoneyBack Credit Card,"Earn 4 Reward Points for every ₹ 150 you spend on Air, Travel, Hotel bookings, Dining & E-commerce spends.",Redeem your Reward Points for CashBack against outstanding amount on your Credit Card,Save up to ₹ 250 per billing cycle with 1% fuel surcharge waiver,,,
103,commercial-credit-cards,Corporate World MasterCard Credit Card,Access free over 600 airport lounges across the world with a complimentary Priority Pass membership,Earn two reward points for every ₹ 150 you spend,Track expenses and view transaction information through an MIS,,,
104,commercial-credit-cards,Corporate Visa Signature Credit Card,"Save up to ₹ 1,000 in every billing cycle with 1% fuel surcharge waiver",Accident Insurance cover of ₹ 1 Crore for Air Travel and ₹ 3 lakhs for Road and Rail Travel,24x7 online MIS to keep track of your expenses,,,
105,commercial-credit-cards,Purchase Reward Credit Card,Move all the direct expenses of your company centrally to the purchase reward card for hassle free payments,Enjoy cashback up-to 1% on your purchases*,"Eliminate vast amount of paperwork for purchase order, invoices etc. leading to better manpower productivity.",,,
106,commercial-credit-cards,Purchase Credit Card,Manage all your company’s direct expenses and utility payments centrally,"Eliminate multiple invoicing, cheque processing and paperwork",Better control on expenses using enhanced spend pattern reports,Accuracy in reconciliation,,
107,commercial-credit-cards,Central Travel Account,Facilitate centralized payment for travel activities of employees,Better transparency with the help of detailed reports for each travel expenses,Enhanced travel data reports to negotiate with preferred airlines and hotels for customized deals and discounts.,Extended payment terms upto 50 days,,
108,commercial-credit-cards,Distributor Credit Card,Distributors can use the card for purchases from your company,Improve distributor cash flow management,Simplify account reconciliation,,,
